Date,Open,High,Low,Close,C Simple 5,10,25,75,200,Volume,Simple 5,10,25,75,
02/07/2019,74,74.5,73.5,74,73.95,74.28,69.35,68.35, ,18858342,31237441,71086472,49196140,28252881,
03/07/2019,74.25,75,74.25,75,74.15,74.4,69.67,68.45, ,22011206,23773259,41076819,48345163,28375265,
04/07/2019,75,75.25,74,74.25,74.2,74.4,69.98,68.54, ,30737592,24689512,36293215,49030531,28642679,
05/07/2019,74.75,75,74.5,74.75,74.45,74.42,70.31,68.62, ,17853957,23089824,32542781,49087620,28511536,
08/07/2019,74.25,74.5,73.75,74,74.4,74.28,70.72,68.69,66.74,18318593,21555938,28785319,43627498,28504239,
09/07/2019,73.5,74.25,73.5,73.5,74.3,74.13,71.06,68.76,66.8,18583735,21501017,26369229,42170286,28438600,
10/07/2019,73.75,74.5,73.25,74.25,74.15,74.15,71.44,68.86,66.84,26016020,22301979,23037619,42069415,28450741,
11/07/2019,74.5,74.5,73.75,73.75,74.05,74.13,71.79,68.94,66.89,11732502,18500961,21595237,41554113,28345057,
12/07/2019,74,74.25,73.25,74,73.9,74.17,72.11,69.03,66.94,14660972,17862364,20476094,41330116,28354620,
15/07/2019,74,74.25,73.75,73.75,73.85,74.13,72.42,69.11,66.98,9420435,16082733,18819335,40278434,28311549,
17/07/2019,73.75,74,73.5,73.5,73.85,74.08,72.71,69.18,67.01,11196029,14605192,18053104,39704467,28222710,
18/07/2019,73.5,73.75,72.5,73,73.6,73.88,72.97,69.25,67.05,25151640,14432316,18367148,40327797,28264762,
19/07/2019,73.5,74,72.75,72.75,73.4,73.72,73.22,69.31,67.08,13840142,14853844,16677403,40236204,28205185,
22/07/2019,72.5,72.75,71.25,71.5,72.9,73.4,73.41,69.37,67.11,32795272,18480704,18171534,41089399,28432726,
23/07/2019,71.5,72.75,71.5,72.25,72.6,73.22,73.64,69.43,67.14,23600239,21316664,18699699,41452709,28505190,
24/07/2019,72.5,72.75,72,72.25,72.35,73.1,73.81,69.48,67.17,21739459,23425350,19015271,40340900,28600808,
25/07/2019,72.25,72.25,71.5,72,72.15,72.88,73.74,69.55,67.2,19123703,22219763,18326039,28221539,28643498,
26/07/2019,71.75,72,71.25,71.75,71.95,72.67,73.64,69.6,67.24,11827251,21817185,18335514,25551684,28561453,
30/07/2019,72,72,71.25,72,72.05,72.47,73.54,69.66,67.27,13192065,17896543,18188624,23865035,28561640,
31/07/2019,71.75,72.25,71.5,72,72,72.3,73.4,69.73,67.31,12865834,15749662,18533163,22143939,28575323,
01/08/2019,71.5,72,71.25,71.75,71.9,72.13,73.27,69.79,67.35,14422056,14286182,18855766,21011036,28658185,
